,point-1,point-2,point-3,point-4,point-5,point-6,point-7,point-8,point-9,point-10,point-11,point-12,point-13,point-14,point-15,point-16,point-17,point-18,point-19,point-20,point-21,point-22,point-23,point-24,point-25,point-26,point-27,point-28,point-29,point-30,point-31,point-32,point-33,point-34,point-35,point-36,point-37,point-38,point-39,point-40,point-41,point-42,point-43,point-44,point-45,point-46,point-47,point-48,point-49,point-50
run-1,0.015,0.02,0.028,0.047,0.078,0.11,0.146,0.188,0.238,0.301,0.347,0.424,0.471,0.52,0.591,0.646,0.699,0.751,0.797,0.839,0.868,0.898,0.925,0.939,0.943,0.945,0.936,0.923,0.9,0.871,0.837,0.795,0.751,0.692,0.648,0.589,0.534,0.471,0.422,0.354,0.288,0.236,0.193,0.148,0.109,0.08,0.051,0.034,0.019,0.015
run-2,0.015,0.023,0.031,0.053,0.072,0.108,0.153,0.192,0.238,0.283,0.347,0.402,0.471,0.525,0.591,0.638,0.697,0.745,0.797,0.843,0.877,0.908,0.921,0.937,0.945,0.944,0.938,0.922,0.902,0.87,0.837,0.795,0.745,0.687,0.644,0.586,0.53,0.463,0.417,0.352,0.296,0.235,0.186,0.148,0.116,0.075,0.052,0.033,0.018,0.016
run-3,0.016,0.023,0.03,0.05,0.079,0.11,0.147,0.191,0.236,0.297,0.36,0.417,0.461,0.522,0.581,0.647,0.703,0.758,0.793,0.842,0.873,0.898,0.925,0.937,0.95,0.947,0.934,0.922,0.899,0.872,0.84,0.796,0.749,0.693,0.64,0.58,0.536,0.469,0.408,0.35,0.287,0.238,0.192,0.149,0.104,0.074,0.052,0.033,0.018,0.016
run-4,0.016,0.021,0.03,0.054,0.078,0.11,0.145,0.2,0.234,0.3,0.351,0.411,0.467,0.522,0.582,0.643,0.698,0.76,0.794,0.832,0.869,0.9,0.925,0.939,0.947,0.946,0.937,0.923,0.897,0.87,0.836,0.793,0.751,0.698,0.645,0.581,0.523,0.469,0.415,0.35,0.29,0.239,0.187,0.15,0.101,0.08,0.05,0.03,0.018,0.017
run-5,0.015,0.02,0.033,0.045,0.081,0.107,0.153,0.188,0.234,0.284,0.342,0.404,0.473,0.527,0.587,0.652,0.695,0.752,0.797,0.839,0.87,0.903,0.921,0.94,0.947,0.947,0.943,0.928,0.901,0.872,0.836,0.788,0.748,0.696,0.649,0.573,0.523,0.477,0.41,0.352,0.299,0.236,0.192,0.15,0.105,0.076,0.049,0.032,0.017,0.017
run-6,0.013,0.021,0.035,0.05,0.077,0.108,0.16,0.19,0.245,0.293,0.349,0.412,0.463,0.531,0.583,0.645,0.701,0.748,0.787,0.838,0.875,0.903,0.921,0.938,0.948,0.945,0.938,0.924,0.904,0.87,0.837,0.79,0.746,0.7,0.646,0.582,0.526,0.464,0.408,0.349,0.295,0.234,0.193,0.144,0.111,0.077,0.048,0.033,0.023,0.014
run-7,0.015,0.02,0.035,0.05,0.076,0.112,0.144,0.188,0.24,0.293,0.356,0.398,0.463,0.541,0.579,0.644,0.704,0.745,0.792,0.829,0.867,0.902,0.926,0.94,0.943,0.945,0.935,0.924,0.903,0.872,0.834,0.796,0.747,0.693,0.65,0.582,0.527,0.462,0.412,0.347,0.284,0.229,0.187,0.146,0.108,0.076,0.049,0.029,0.018,0.015
run-8,0.012,0.021,0.033,0.05,0.078,0.113,0.145,0.19,0.235,0.295,0.35,0.399,0.469,0.526,0.589,0.652,0.693,0.751,0.797,0.832,0.876,0.895,0.922,0.937,0.947,0.949,0.938,0.925,0.902,0.877,0.842,0.787,0.749,0.694,0.642,0.58,0.532,0.461,0.415,0.355,0.291,0.232,0.192,0.148,0.107,0.072,0.052,0.031,0.02,0.016
run-9,0.018,0.018,0.029,0.051,0.078,0.108,0.146,0.194,0.24,0.293,0.351,0.402,0.456,0.526,0.599,0.633,0.689,0.743,0.791,0.839,0.87,0.902,0.921,0.936,0.946,0.946,0.94,0.924,0.903,0.872,0.834,0.795,0.749,0.692,0.638,0.579,0.517,0.467,0.408,0.34,0.291,0.239,0.185,0.155,0.115,0.077,0.05,0.034,0.02,0.014
run-10,0.018,0.02,0.029,0.053,0.076,0.109,0.151,0.186,0.243,0.293,0.339,0.406,0.464,0.531,0.578,0.636,0.704,0.748,0.796,0.832,0.868,0.9,0.922,0.939,0.943,0.946,0.933,0.923,0.906,0.875,0.834,0.793,0.75,0.703,0.645,0.585,0.523,0.479,0.426,0.345,0.296,0.236,0.193,0.154,0.109,0.08,0.051,0.033,0.02,0.014
