,point-1,point-2,point-3,point-4,point-5,point-6,point-7,point-8,point-9,point-10,point-11,point-12,point-13,point-14,point-15,point-16,point-17,point-18,point-19,point-20,point-21,point-22,point-23,point-24,point-25,point-26,point-27,point-28,point-29,point-30,point-31,point-32,point-33,point-34,point-35,point-36,point-37,point-38,point-39,point-40,point-41,point-42,point-43,point-44,point-45,point-46,point-47,point-48,point-49,point-50
run-1,0.0,0.005,0.017,0.042,0.061,0.101,0.15,0.192,0.246,0.308,0.359,0.429,0.484,0.546,0.609,0.67,0.727,0.794,0.834,0.878,0.918,0.945,0.971,0.996,0.997,1.0,0.987,0.976,0.951,0.925,0.876,0.838,0.783,0.733,0.673,0.614,0.549,0.488,0.427,0.361,0.301,0.246,0.19,0.133,0.101,0.063,0.039,0.019,0.001,0.001
run-2,0.0,0.005,0.013,0.035,0.059,0.108,0.136,0.18,0.236,0.3,0.364,0.427,0.466,0.545,0.609,0.677,0.73,0.791,0.833,0.875,0.917,0.949,0.974,0.984,0.998,0.995,0.989,0.974,0.941,0.92,0.882,0.84,0.782,0.732,0.664,0.606,0.542,0.491,0.423,0.356,0.289,0.237,0.189,0.145,0.1,0.065,0.039,0.015,0.006,0.0
run-3,0.0,0.003,0.019,0.041,0.065,0.095,0.141,0.193,0.232,0.297,0.359,0.421,0.495,0.549,0.607,0.66,0.732,0.78,0.836,0.884,0.915,0.949,0.974,0.988,1.0,0.993,0.997,0.974,0.957,0.922,0.877,0.832,0.803,0.736,0.672,0.613,0.551,0.478,0.413,0.354,0.296,0.237,0.193,0.143,0.109,0.063,0.036,0.017,0.006,0.0
run-4,0.0,0.006,0.017,0.039,0.064,0.098,0.138,0.191,0.241,0.295,0.356,0.415,0.482,0.536,0.62,0.675,0.744,0.79,0.835,0.885,0.923,0.945,0.972,0.983,1.0,0.992,0.991,0.979,0.953,0.917,0.879,0.833,0.785,0.733,0.67,0.611,0.556,0.473,0.419,0.357,0.307,0.236,0.189,0.138,0.099,0.064,0.039,0.014,0.006,0.002
run-5,0.0,0.006,0.014,0.041,0.066,0.097,0.135,0.183,0.249,0.294,0.357,0.422,0.496,0.552,0.613,0.68,0.73,0.786,0.837,0.881,0.912,0.953,0.969,0.99,1.0,1.0,0.988,0.98,0.958,0.922,0.872,0.838,0.79,0.725,0.661,0.606,0.551,0.484,0.422,0.364,0.295,0.257,0.184,0.142,0.097,0.065,0.04,0.021,0.004,0.0
run-6,0.0,0.004,0.019,0.036,0.068,0.098,0.139,0.183,0.249,0.294,0.348,0.434,0.482,0.545,0.612,0.686,0.735,0.787,0.838,0.883,0.911,0.947,0.973,0.99,0.995,0.993,0.993,0.978,0.953,0.913,0.88,0.835,0.782,0.731,0.667,0.614,0.543,0.486,0.422,0.353,0.301,0.247,0.19,0.145,0.095,0.07,0.038,0.015,0.003,0.002
run-7,0.002,0.003,0.018,0.031,0.062,0.1,0.146,0.196,0.249,0.302,0.364,0.411,0.487,0.554,0.618,0.678,0.736,0.79,0.832,0.882,0.918,0.947,0.966,0.994,1.0,0.992,0.993,0.972,0.95,0.918,0.877,0.838,0.782,0.724,0.677,0.608,0.549,0.48,0.418,0.353,0.294,0.236,0.187,0.143,0.103,0.065,0.041,0.017,0.006,0.002
run-8,0.0,0.003,0.016,0.037,0.064,0.1,0.135,0.189,0.241,0.304,0.35,0.42,0.484,0.549,0.602,0.675,0.728,0.793,0.832,0.883,0.92,0.941,0.98,0.985,1.0,0.996,0.989,0.974,0.95,0.921,0.881,0.839,0.787,0.726,0.673,0.611,0.542,0.493,0.431,0.353,0.298,0.233,0.194,0.147,0.098,0.059,0.035,0.016,0.005,0.004
run-9,0.0,0.003,0.018,0.034,0.064,0.1,0.153,0.185,0.245,0.302,0.37,0.426,0.489,0.548,0.61,0.67,0.729,0.789,0.845,0.877,0.923,0.95,0.974,0.989,0.996,1.0,0.994,0.971,0.957,0.924,0.875,0.835,0.786,0.726,0.674,0.607,0.544,0.486,0.436,0.35,0.306,0.237,0.192,0.141,0.097,0.064,0.034,0.015,0.003,0.0
run-10,0.0,0.0,0.016,0.031,0.057,0.098,0.139,0.187,0.24,0.297,0.358,0.435,0.483,0.553,0.613,0.671,0.732,0.785,0.833,0.879,0.926,0.955,0.977,0.991,0.997,1.0,0.983,0.976,0.954,0.922,0.877,0.844,0.781,0.735,0.675,0.612,0.551,0.49,0.421,0.355,0.305,0.24,0.186,0.137,0.103,0.064,0.035,0.015,0.004,0.0
